object_label,Unnamed: 0,query_segment_id,query_label,candidate_segment_id,candidate_video_id,similarity,candidate_label_indices,candidate_label_names,source_split
Alarm_bell_ringing,233510,8W82WdRBx4E_20000,Alarm_bell_ringing,t-S5b4SEOT4_40000,t-S5b4SEOT4,0.924685001373291,395,Alarm clock,unbal_train
Alarm_bell_ringing,233501,8W82WdRBx4E_20000,Alarm_bell_ringing,qqii1gFc6_4_20000,qqii1gFc6_4,0.9170398712158204,388|395,Alarm|Alarm clock,unbal_train
Alarm_bell_ringing,421125,T_FZMsRHzLc_30000,Alarm_bell_ringing,DHxI5Q_VOfg_30000,DHxI5Q_VOfg,0.9092223048210144,395,Alarm clock,unbal_train
Alarm_bell_ringing,233498,8W82WdRBx4E_20000,Alarm_bell_ringing,nkacKyA2i7s_20000,nkacKyA2i7s,0.9039041996002196,395,Alarm clock,unbal_train
Alarm_bell_ringing,476344,iNpXCzaWW1s_1000,Alarm_bell_ringing,641Ng7IJf0Q_20000,641Ng7IJf0Q,0.9008893966674804,388,Alarm,unbal_train
Alarm_bell_ringing,376731,Qtpn66PvyUA_3000,Alarm_bell_ringing,4BUEj-TxY5g_0,4BUEj-TxY5g,0.8865630626678467,390,Telephone bell ringing,bal_train
Alarm_bell_ringing,233376,8W82WdRBx4E_20000,Alarm_bell_ringing,1zg1irhT4wI_30000,1zg1irhT4wI,0.8529690504074097,395,Alarm clock,unbal_train
Alarm_bell_ringing,326084,I_qBcFL7rys_0,Alarm_bell_ringing,ptIHZv3KdJw_0,ptIHZv3KdJw,0.8483234643936157,355,Doorbell,bal_train
Alarm_bell_ringing,559283,wBqBVtBHDTE_30000,Alarm_bell_ringing,79rmTWPTE4k_20000,79rmTWPTE4k,0.8451055288314819,388|395,Alarm|Alarm clock,unbal_train
Alarm_bell_ringing,367816,NfSea2VFxJc_0,Alarm_bell_ringing,bz4A-AAKSHE_530000,bz4A-AAKSHE,0.8397199511528015,390,Telephone bell ringing,unbal_train
Alarm_bell_ringing,367861,NgBE9eFXXxA_0,Alarm_bell_ringing,0KHmpwLMjck_10000,0KHmpwLMjck,0.8380497694015503,388|395,Alarm|Alarm clock,unbal_train
Alarm_bell_ringing,421104,T_FZMsRHzLc_30000,Alarm_bell_ringing,5_PvtlfQLOE_40000,5_PvtlfQLOE,0.837534487247467,388|395,Alarm|Alarm clock,bal_train
Alarm_bell_ringing,200892,89-cWFtXz_U_270000,Alarm_bell_ringing,LYYX_fZBmgA_30000,LYYX_fZBmgA,0.8369923233985901,395,Alarm clock,unbal_train
Alarm_bell_ringing,380082,O_1Cqphz0oQ_30000,Alarm_bell_ringing,3Qaw02kGV44_90000,3Qaw02kGV44,0.8358650803565979,388,Alarm,unbal_train
Alarm_bell_ringing,416698,SuKtxWhkWjo_40000,Alarm_bell_ringing,zrp4_MwYsCM_50000,zrp4_MwYsCM,0.8356897830963135,388|395,Alarm|Alarm clock,unbal_train
Alarm_bell_ringing,448633,Wi6ef91IiUg_490000,Alarm_bell_ringing,M6vRH-i77vU_26000,M6vRH-i77vU,0.8331905603408813,388,Alarm,unbal_train
Alarm_bell_ringing,225533,89-cWFtXz_U_270000,Alarm_bell_ringing,KBX2_o073kI_60000,KBX2_o073kI,0.8320788741111755,388|395,Alarm|Alarm clock,unbal_train
Alarm_bell_ringing,325937,I_qBcFL7rys_0,Alarm_bell_ringing,-6p32k2WUCs_0,-6p32k2WUCs,0.825587272644043,355,Doorbell,unbal_train
Alarm_bell_ringing,559348,wBqBVtBHDTE_30000,Alarm_bell_ringing,b06_wsWoIfI_20000,b06_wsWoIfI,0.8242238759994507,395,Alarm clock,unbal_train
Alarm_bell_ringing,416607,SuKtxWhkWjo_40000,Alarm_bell_ringing,aj9SsQAwLO4_70000,aj9SsQAwLO4,0.823162853717804,395,Alarm clock,unbal_train
Alarm_bell_ringing,416549,SuKtxWhkWjo_40000,Alarm_bell_ringing,M20pf99cCeI_50000,M20pf99cCeI,0.8197650909423828,388|395,Alarm|Alarm clock,unbal_train
Alarm_bell_ringing,81659,8W82WdRBx4E_20000,Alarm_bell_ringing,TfqHZnZXMSQ_60000,TfqHZnZXMSQ,0.8097909688949585,395,Alarm clock,unbal_train
Alarm_bell_ringing,233431,8W82WdRBx4E_20000,Alarm_bell_ringing,Qaqqxq9E9p8_20000,Qaqqxq9E9p8,0.8083950281143188,388,Alarm,bal_train
Alarm_bell_ringing,138571,O_1Cqphz0oQ_30000,Alarm_bell_ringing,RWhr-YzVkA0_30000,RWhr-YzVkA0,0.807990550994873,395,Alarm clock,unbal_train
Alarm_bell_ringing,462612,_HDolAn2_us_60000,Alarm_bell_ringing,l8ImMjuK29M_330000,l8ImMjuK29M,0.8039345145225525,355,Doorbell,unbal_train
Alarm_bell_ringing,105851,31c2kosdtuo_20000,Alarm_bell_ringing,tZHTM1Xpofg_0,tZHTM1Xpofg,0.8015307188034058,388,Alarm,unbal_train
